lion 사자
tiger 호랑이
lemon 레몬
pencil 연필
dog 개
cat 고양이
paper 종이
pencil 연필
camel 낙타
ant 개미
cow 소
balloon 풍선
banana 바나나
band 밴드
book 책
bottle 병
bread 빵
bus 버스
cap 모자
capital 수도
captain 선장
car 자동차
card 카드
doctor 의사
dog 개
doll 인형
dollar 달러
dolphin 돌고래
door 문
dream 꿈
ear 귀
east 동쪽
echo 메아리
exercise 운동
eye 눈
food 음식
fool 바보
hotel 호텔
horse 말
luck 운
lunch 점심
hose 호스
hour 시간
house 집
hair 머리카락
god 신
mother 어머니
orange 오렌지
music 음악
mountain 산
peace 평화
pear 배
pen 펜
pig 돼지
plan 계획
plane 비행기
pilot 조종사
pin 핀
pencil 연필
people 사람들
piano 피아노
mouth 입
office 사무실
sea 바다
season 계절
robot 로봇
umbrella 우산
west 서쪽
window 창문
foot 발
tomato 토마토
zoo 동물원
tomorrow 내일
strange 이상한
strawberry 딸기
taxi 택시
son 아들
stair 계단
stamp 우표
song 노래
flower 꽃
rocket 로켓
roof 지붕
room 방
lip 입술
fish 물고기
water 물
war 전쟁
warm 따뜻한
wall 벽, 담
video 비디오
violin 바이올린
visit 방문하다
village 마을
tree 나무
trip 여행
toy 장난감
truck 트럭
thick 두꺼운
telephone 전화기
